file,artist,title,year,genre
George Benson/George Benson - Best Of George Benson/Give Me The Night.mp3,George Benson,Give Me The Night,2003,""
George Benson/George Benson - Best Of George Benson/Feel Like Making Love.mp3,George Benson,Feel Like Making Love,2003,""
George Benson/George Benson - Best Of George Benson/Turn Your Love Around.mp3,George Benson,Turn Your Love Around,2003,""
George Benson/George Benson - Best Of George Benson/Kisses In The Moonlight.mp3,George Benson,Kisses In The Moonlight,2003,""
George Benson/George Benson - Best Of George Benson/You Are The Love Of My Life (with Roberta Flack).mp3,George Benson,You Are The Love Of My Life (w,2003,""
George Benson/George Benson - Best Of George Benson/The Masquerade.mp3,George Benson,The Masquerade,2003,""
George Benson/George Benson - Best Of George Benson/Nature Boy.mp3,George Benson,Nature Boy,2003,""
George Benson/George Benson - Best Of George Benson/Love All The Hurt Away (with Aretha Franklin).mp3,George Benson,Love All The Hurt Away (with A,2003,""
George Benson/George Benson - Best Of George Benson/Shiver.mp3,George Benson,Shiver,2003,""
George Benson/George Benson - Best Of George Benson/Being With You.mp3,George Benson,Being With You,2003,""
George Benson/George Benson - Best Of George Benson/Love Ballad.mp3,George Benson,Love Ballad,2003,""
George Benson/George Benson - Best Of George Benson/Never Give Up On A Good Thing.mp3,George Benson,Never Give Up On A Good Thing,2003,""
George Benson/George Benson - Best Of George Benson/Nothing's Gonna Change My Love For You.mp3,George Benson,Nothing's Gonna Change My Love,2003,""
George Benson/George Benson - Best Of George Benson/Love X Love.mp3,George Benson,Love X Love,2003,""
George Benson/George Benson - Best Of George Benson/Breezin'.mp3,George Benson,Breezin',2003,""
George Benson/George Benson - Best Of George Benson/The Greatest Love Of All.mp3,George Benson,The Greatest Love Of All,2003,""
George Benson/George Benson - Best Of George Benson/In Your Eyes.mp3,George Benson,In Your Eyes,2003,""
Joni Mitchell/Hits/13_Chinese_Cafe___Unchained_Melody_-_Hits_-_Joni_Mitchell.mp3,"","","",""
Joni Mitchell/Hits/10_Help_Me_-_Hits_-_Joni_Mitchell.mp3,"","","",""
Joni Mitchell/Hits/07_California_-_Hits_-_Joni_Mitchell.mp3,"","","",""
"Joni Mitchell/Hits/15_Both_Sides,_Now_-_Hits_-_Joni_Mitchell.mp3","","","",""
Joni Mitchell/Hits/05_The_Circle_Game_-_Hits_-_Joni_Mitchell.mp3,"","","",""
Joni Mitchell/Hits/06_Carey_-_Hits_-_Joni_Mitchell.mp3,"","","",""
Joni Mitchell/Hits/12_River_-_Hits_-_Joni_Mitchell.mp3,"","","",""
Joni Mitchell/Hits/09_Raised_On_Robbery_-_Hits_-_Joni_Mitchell.mp3,"","","",""
Joni Mitchell/Hits/08_You_Turn_Me_On_I'm_A_Radio_-_Hits_-_Joni_Mitchell.mp3,"","","",""
Joni Mitchell/Hits/04_Woodstock_-_Hits_-_Joni_Mitchell.mp3,"","","",""
Joni Mitchell/Hits/11_Free_Man_In_Paris_-_Hits_-_Joni_Mitchell.mp3,"","","",""
Joni Mitchell/Hits/14_Come_In_From_The_Cold_-_Hits_-_Joni_Mitchell.mp3,"","","",""
Joni Mitchell/Hits/01_Urge_For_Going_-_Hits_-_Joni_Mitchell.mp3,"","","",""
Joni Mitchell/Hits/03_Big_Yellow_Taxi_-_Hits_-_Joni_Mitchell.mp3,"","","",""
Joni Mitchell/Hits/02_Chelsea_Morning_-_Hits_-_Joni_Mitchell.mp3,"","","",""
Ella FitzGerald/Fitzgerald & Pass… Again/03 My Old Flame.mp3,"","","",""
Ella FitzGerald/Fitzgerald & Pass… Again/01 I Ain't Got Nothin' But the Blues.mp3,"","","",""
Ella FitzGerald/Fitzgerald & Pass… Again/14 One Note Samba.mp3,"","","",""
Ella FitzGerald/Fitzgerald & Pass… Again/09 All Too Soon.mp3,"","","",""
Ella FitzGerald/Fitzgerald & Pass… Again/13 Tennessee Waltz.mp3,"","","",""
Ella FitzGerald/Fitzgerald & Pass… Again/11 Solitude.mp3,"","","",""
Ella FitzGerald/Fitzgerald & Pass… Again/12 Nature Boy.mp3,"","","",""
Ella FitzGerald/Fitzgerald & Pass… Again/05 Rain.mp3,"","","",""
Ella FitzGerald/Fitzgerald & Pass… Again/02 'Tis Autumn.mp3,"","","",""
